permit_name,megawatts,total_acres,disturbance_zone_acres,mitigation_plan,city/county,brownfield_site,noi_received,application_received,pbr_authorization_letter,construction_commenced,commercial_operation_commenced
360 Solar Center Project,52.0,800,450,YES,Chesterfield County,No,7/19/22,4/29/24,7/15/24,,
Altavista Solar LLC (FKA Dragonfly),80.0,"1,200",0,YES,Campbell County,No,9/12/18,5/31/19,8/8/19,3/11/20,6/4/21
"Alton Post Office Solar, LLC",75.0,768,501,No,Halifax County,No,10/6/17,9/15/20,12/7/20,9/20/23,12/24/24
Axton Solar,66.0,600,547,YES,Henry County,No,8/28/19,3/23/22,6/17/22,10/3/22,12/28/23
"Bartonsville Energy Facility II, LLC",50.0,478,407,YES,Frederick County,No,2/17/22,6/21/22,9/23/22,9/26/22,
"Bartonsville Energy Facility, LLC",80.0,"1,160",869,No,Frederick County,No,3/18/20,8/16/21,11/1/21,,
Bedford Solar Center,70.0,566,410,No,Chesapeake City,No,11/20/19,1/14/20,4/9/20,7/30/20,11/23/21
"Belcher Solar, LLC",88.2,"1,305",0,YES,Louisa County,No,10/28/16,6/20/17,8/8/17,1/14/20,6/30/21
Bella Terra Solar,100.0,"1,056",558,YES,Pulaski County,No,12/6/21,2/17/23,10/24/23,,
Blue Rock Solar,100.0,596,"1,127",No,Buckingham County,No,9/19/23,12/27/24,2/6/25,,
"Bluestone Farm Solar, LLC",50.0,333,0,No,Mecklenburg County,No,5/13/16,10/25/17,12/5/17,3/1/19,6/1/21
Bookers Mill Solar,127.0,"1,600",640,,Richmond County,No,3/10/21,9/1/21,11/29/21,8/1/22,
Briel Farm Solar LLC,20.0,230,105,YES,Henrico County,No,2/15/17,4/11/18,6/14/18,,3/2/21
Buchanan County Solar Project,75.0,"1,188",,No,Buchanan County,YES,2/27/25,2/27/25,3/3/25,,
Buckingham II Solar LLC,20.0,295,225,No,Buckingham County,No,7/25/17,2/20/18,6/18/18,10/7/20,7/28/21
"Caden Energix Hickory, LLC",32.0,154,145,YES,Chesapeake City,No,8/2/18,11/26/18,3/14/19,,8/18/20
Caden Energix Wytheville LLC,20.0,154,139,No,Wythe County,No,8/28/19,6/3/20,7/27/20,9/27/21,6/3/22
Carver Solar I,91.0,"1,138",637,YES,Isle of Wight County,No,1/16/24,11/22/24,1/31/25,,
Carvers Creek Solar,150.0,"2,400","1,734",YES,Gloucester County,No,11/22/19,8/18/20,11/12/20,10/1/22,12/23/24
"Chesapeake Solar Project, LLC",118.0,940,0,YES,Chesapeake City,No,6/15/18,11/2/21,1/14/22,11/11/22,12/20/23
"Correctional Solar, LLC",20.0,"1,690",460,YES,Gloucester County,No,5/30/16,8/29/16,10/17/16,5/1/17,11/29/17
"Crystal Hill Solar, LLC",65.0,629,0,No,Halifax County,No,10/6/17,10/9/19,12/17/19,3/8/23,12/29/23
"Eastern Shore Solar, LLC",80.0,"1,003",942,YES,Accomack County,No,10/14/14,6/8/15,9/28/15,9/28/15,10/30/16
"Energix Nokesville, LLC",20.0,300,0,YES,Prince William County,No,7/25/17,5/21/19,2/20/20,10/26/21,5/20/24
Essex Solar Center LLC,20.0,419,174,YES,Essex County,No,3/2/16,10/11/16,12/7/16,5/12/17,12/14/17
Fisher Chewning Solar,150.0,"1,620","1,365",YES,Louisa County,No,4/4/22,6/15/22,10/7/22,,
"Fort Powhatan Solar, LLC",150.0,"3,086","2,000",YES,Prince George County,No,10/7/19,1/9/20,3/19/20,8/3/20,1/19/22
"Foxglove Solar, LLC",75.0,672,408,YES,Frederick County,No,8/28/20,4/19/21,8/4/21,8/21/23,10/10/24
Foxhound Solar,83.0,"1,125",600,YES,Halifax County,No,10/26/18,9/11/19,12/17/19,1/17/23,
Gladys Solar LLC,60.4,"1,108",615,YES,Campbell County,No,10/13/23,1/25/24,3/8/24,,
"Gloucester Solar, LLC",20.0,204,0,YES,Gloucester County,No,4/27/17,11/30/17,2/12/18,8/18/18,4/22/19
"Grasshopper Solar, LLC",80.0,927,913,YES,Mecklenburg County,No,11/21/16,5/9/19,9/5/19,9/25/19,9/29/20
Greensville County Solar Project,80.0,"1,125",646,YES,Greensville County,No,10/10/18,7/18/19,10/15/19,12/20/19,12/1/20
"Greenwood Solar I, LLC",100.0,"1,384","1,000",YES,Culpeper County,No,10/8/18,7/28/20,9/22/20,,
Hecate Energy Cherrydale,20.0,236,0,No,Northampton County,No,10/13/15,7/13/16,8/15/16,3/30/17,10/25/17
"Hecate Energy Clarke County, LLC",20.0,235,0,YES,Clarke County,No,10/13/15,8/18/16,9/22/16,2/15/17,7/26/17
Ho-Fel Solar,40.0,350,,YES,Isle of Wight County,No,3/30/22,3/27/23,6/8/23,,
James Energy Center,20.0,3,,,Lynchburg City,No,6/25/24,12/13/24,1/6/25,,
Jarratt Energy Facility,49.0,500,,No,Greensville County,No,3/18/20,5/26/22,8/24/22,,
"KDC Solar Kings Creek, LLC",20.0,395,200,No,James City County,YES,10/31/19,10/31/19,11/5/19,,
Maplewood Solar,120.0,"1,850","1,556",YES,Pittsylvania County,No,11/27/19,3/16/20,6/10/20,7/20/20,12/19/22
"Mechanicsville Solar, LLC",25.0,250,0,YES,Hanover County,No,9/12/16,8/8/17,9/26/17,12/9/19,6/10/20
Mine & Hemmer Solar,94.0,460,229,YES,Louisa County,No,8/5/22,3/10/23,6/1/23,,
Montross Solar,20.0,337,120,YES,Westmoreland County,No,11/30/17,2/16/18,5/17/18,7/20/18,12/12/18
"Moody Creek Solar, LLC",150.0,"1,631",798,YES,Charlotte County,No,10/21/19,3/12/21,6/1/21,,
"Pigeon Run Solar, LLC",60.0,612,296,YES,Campbell County,No,11/19/19,4/26/21,8/4/21,,
Pleasant Hill Solar,20.0,208,180,No,Suffolk City,No,11/20/18,11/13/20,2/5/21,,
"Powells Creek Farm Solar, LLC",70.0,710,502,YES,Halifax County,No,4/21/17,2/13/19,5/2/19,8/16/22,
Prairie Solar,20.0,433,201,YES,Isle of Wight County,No,6/30/23,9/12/23,10/27/23,2/24/25,
Prospect Power,150.0,25,,YES,Rockingham County,No,4/10/24,9/10/24,11/8/24,,
Pulaski I Solar,150.0,"1,664",981,YES,Pulaski County,No,12/6/21,2/16/23,1/16/24,,
Pumpkinseed Solar,60.0,836,381,No,Greensville County,No,6/14/17,10/7/19,12/17/19,12/2/20,9/29/22
Red Brick Solar,130.0,"1,938","1,309",YES,Lunenburg County,No,6/15/22,10/25/22,3/3/23,,
River Trail Solar,20.0,390,169,YES,Carroll County,No,12/10/21,12/19/22,4/25/23,1/22/24,
Riverstone Solar,149.5,"1,992","1,819",YES,Buckingham County,No,11/29/21,7/28/22,11/29/22,,
"Rocky Forge Wind, LLC",80.0,200,0,YES,Botetourt County,No,6/25/15,5/3/16,3/2/17,3/18/21,
Scott II Solar LLC,20.0,720,230,No,Powhatan County,No,6/9/16,10/11/16,12/8/16,4/25/17,11/29/17
Scout Energy Storage Facility,80.0,10,,,Accomack County,No,8/5/22,10/6/22,1/3/23,,
"Shockoe Solar, LLC",60.0,903,290,YES,Pittsylvania County,No,9/9/20,6/23/21,10/21/21,,
"Sol Leatherwood Solar, LLC",20.0,322,0,YES,Henry County,No,5/21/18,10/18/18,12/17/18,1/8/21,8/9/21
"Sol Madison Solar, LLC",62.5,355,0,YES,Orange County,No,6/18/18,2/5/19,4/23/19,7/26/21,9/13/24
"Southampton Solar, LLC",100.0,"1,200",0,YES,Southampton County,No,5/16/16,12/19/16,1/24/17,3/8/17,11/26/17
"Spring Grove Solar  II, LLC",150.0,"1,650",0,No,Surry County,No,9/8/20,12/11/20,3/4/21,,
Sun Ridge Solar,50.0,564,236,YES,Rockingham County,No,5/8/23,8/16/23,11/8/23,2/2/24,
Sunny Rock Solar Project,20.0,180,145,YES,Henry County,No,3/7/23,8/22/23,11/20/23,2/19/24,
"Sunnybrook Farm Solar, LLC",51.0,352,242,YES,Halifax County,No,12/9/16,7/9/18,9/25/18,1/27/22,12/1/22
Sussex Drive Solar,20.0,371,250,No,Sussex County,No,6/9/16,11/21/16,1/12/17,4/27/17,11/30/17
"Turner Solar, LLC",20.0,581,463,No,Henrico County,No,10/31/17,11/29/18,7/10/19,,
Two Oaks Solar,118.0,"1,234",917,YES,Louisa County,No,11/30/21,3/11/24,4/25/24,,
Waller Solar,131.0,"2,764","1,200",YES,Lancaster County,No,6/7/21,1/6/23,3/27/23,,
"Water Strider Solar, LLC",80.0,"1,196","1,042",YES,Halifax County,No,10/16/17,10/25/18,4/30/19,4/8/20,5/15/21
"Watlington Solar, LLC",20.0,220,140,No,Halifax County,No,6/17/20,1/5/21,3/17/21,,
Waverly I Solar,50.0,"2,992","1,177",YES,Sussex County,No,3/28/22,6/27/22,10/5/22,6/1/23,3/14/24
Waverly II Solar,68.0,"1,700",438,YES,Sussex County,No,4/25/22,12/5/22,3/3/23,6/7/23,3/14/24
Westmoreland County Solar Project,20.0,161,100,No,Westmoreland County,No,9/21/18,11/4/19,1/28/20,,10/1/21
Whitehorn Solar LLC,50.0,704,410,No,Pittsylvania County,No,6/10/19,2/3/20,4/22/20,9/24/20,12/1/21
Windsor Solar,85.0,"1,398",529,YES,Isle of Wight County,No,11/2/22,4/14/23,12/6/23,,
Woodridge Solar,138.0,"2,265",850,YES,Albemarle County,No,1/20/23,5/23/24,7/23/24,,
"Wythe County Solar Project, LLC",75.0,858,844,No,Wythe County,No,11/21/19,7/23/20,9/22/20,,
